"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PSMB99",2.38955997774528e-23,0.238813699757446,0.789,0.671,4.9533188778682e-19,"NK_CD56bright","PSMB9"
"NUCKS16",4.18351356933396e-23,0.255764596479518,0.769,0.653,8.67200527787236e-19,"NK_CD56bright","NUCKS1"
"ITGAL9",5.66883833165926e-23,0.207764100595986,0.62,0.463,1.17509349776965e-18,"NK_CD56bright","ITGAL"
"OSTF14",8.26531854624952e-23,0.24969187749117,0.642,0.498,1.71331788145206e-18,"NK_CD56bright","OSTF1"
"DDX175",1.53371720932119e-22,0.287955637000381,0.91,0.856,3.17924240320189e-18,"NK_CD56bright","DDX17"
"CUTA1",2.0613074505914e-22,0.255806855793327,0.681,0.55,4.27288421433091e-18,"NK_CD56bright","CUTA"
"BCLAF13",3.3807732039047e-22,0.327484169194245,0.762,0.668,7.00800477437405e-18,"NK_CD56bright","BCLAF1"
"NUB13",3.84865391697855e-22,0.277029618338519,0.567,0.42,7.97787470450483e-18,"NK_CD56bright","NUB1"
"TAF75",4.21221598323586e-22,0.264047159143611,0.641,0.491,8.73150251164962e-18,"NK_CD56bright","TAF7"
"WIPF16",4.22684504272609e-22,0.254070466258227,0.706,0.564,8.76182708906692e-18,"NK_CD56bright","WIPF1"
"HIST1H1D8",1.59954339283881e-21,0.461144556284572,0.606,0.498,3.31569349901558e-17,"NK_CD56bright","HIST1H1D"
"RBM254",4.84909761740002e-21,0.284153628239281,0.818,0.734,1.00516944511085e-16,"NK_CD56bright","RBM25"
"RPL22L18",7.0412623296922e-21,0.31836013314276,0.592,0.475,1.4595832683219e-16,"NK_CD56bright","RPL22L1"
"CCDC85B4",1.64803559382425e-20,0.235699459590568,0.669,0.538,3.41621298243828e-16,"NK_CD56bright","CCDC85B"
"LNPEP2",2.87289465165244e-20,0.248960558633909,0.581,0.46,5.95522332341034e-16,"NK_CD56bright","LNPEP"
"PRDM23",4.91977344344694e-20,0.247267091427848,0.55,0.418,1.01981983709212e-15,"NK_CD56bright","PRDM2"
"EMB10",5.13833803948437e-20,0.267832318284382,0.682,0.562,1.06512609220472e-15,"NK_CD56bright","EMB"
"USP341",7.4167216512879e-20,0.266146324503639,0.6,0.469,1.53741223109547e-15,"NK_CD56bright","USP34"
"PRRC2C5",8.75039683424907e-20,0.236053329964424,0.912,0.872,1.81386975977149e-15,"NK_CD56bright","PRRC2C"
"MAP2K23",1.34352627766791e-19,0.264008725017879,0.599,0.47,2.78499562097781e-15,"NK_CD56bright","MAP2K2"
"DDX3X1",2.20159443797445e-19,0.247726112972293,0.783,0.657,4.56368511047724e-15,"NK_CD56bright","DDX3X"
"BIN19",3.17057703681604e-19,0.220449148086588,0.522,0.38,6.57228913961598e-15,"NK_CD56bright","BIN1"
"HIST2H2AC4",3.52498231903406e-19,0.324135592809905,0.513,0.385,7.3069358491257e-15,"NK_CD56bright","HIST2H2AC"
"SRSF113",3.75575851819299e-19,0.23140489037093,0.777,0.68,7.78531183236225e-15,"NK_CD56bright","SRSF11"
"RICTOR",1.58529192575354e-18,0.252397719356562,0.503,0.388,3.28615163289451e-14,"NK_CD56bright","RICTOR"
"FAM107B13",1.79282275169778e-18,0.28255548223942,0.77,0.673,3.71634228199432e-14,"NK_CD56bright","FAM107B"
"UBE2I4",2.49824466106915e-18,0.235244248393793,0.721,0.605,5.17861135793024e-14,"NK_CD56bright","UBE2I"
"THRAP36",5.00980728525371e-18,0.220160519947962,0.715,0.615,1.03848295216024e-13,"NK_CD56bright","THRAP3"
"PA2G42",2.59500780993741e-17,0.24203103491526,0.661,0.557,5.37919168921925e-13,"NK_CD56bright","PA2G4"
"FBL5",3.59408162886178e-17,0.260528230191882,0.587,0.461,7.45017180846759e-13,"NK_CD56bright","FBL"
"CHD45",4.06102040111003e-17,0.282355121179622,0.597,0.482,8.41808918946097e-13,"NK_CD56bright","CHD4"
"EIF5A5",6.2227135409486e-17,0.248350272078033,0.72,0.643,1.28990628990324e-12,"NK_CD56bright","EIF5A"
"FXYD53",7.37863766383376e-17,0.245167991291005,0.873,0.82,1.5295178013361e-12,"NK_CD56bright","FXYD5"
"SON3",1.085785734395e-16,0.210291011738942,0.929,0.906,2.2507252488274e-12,"NK_CD56bright","SON"
"SMAP25",1.39551823571171e-16,0.224669384629578,0.822,0.76,2.8927697508068e-12,"NK_CD56bright","SMAP2"
"FOXN31",2.10621495021362e-16,0.251652401763071,0.529,0.412,4.36597297029782e-12,"NK_CD56bright","FOXN3"
"RBMS11",2.17473077231709e-16,0.207514816501573,0.583,0.45,4.50799941793609e-12,"NK_CD56bright","RBMS1"
"KANSL13",4.47914078528588e-16,0.218302692104998,0.602,0.492,9.2848109338191e-12,"NK_CD56bright","KANSL1"
"PTPN23",8.83836751962802e-16,0.256821196430292,0.542,0.436,1.83210520314369e-11,"NK_CD56bright","PTPN2"
"TRA2A2",8.85893972117408e-16,0.236588497430608,0.546,0.441,1.83636961480218e-11,"NK_CD56bright","TRA2A"
"AKAP134",1.02034238310433e-15,0.21702411212627,0.822,0.748,2.11506772593697e-11,"NK_CD56bright","AKAP13"
"HNRNPU5",1.25128246952573e-15,0.214428553355368,0.922,0.894,2.59378343107988e-11,"NK_CD56bright","HNRNPU"
"DHX364",1.383633421989e-15,0.238163167935112,0.579,0.46,2.86813372044099e-11,"NK_CD56bright","DHX36"
"CDK133",1.42760739349814e-15,0.222256843747175,0.54,0.425,2.95928736598229e-11,"NK_CD56bright","CDK13"
"PRPF38B5",1.48421227879199e-15,0.227370668026776,0.718,0.618,3.07662363270792e-11,"NK_CD56bright","PRPF38B"
"TERF2IP7",1.56267858009788e-15,0.212723990482007,0.601,0.49,3.2392764286849e-11,"NK_CD56bright","TERF2IP"
"TRAF3IP38",1.6463273647959e-15,0.220987913006726,0.786,0.695,3.41267199448542e-11,"NK_CD56bright","TRAF3IP3"
"GTF3A10",1.92161695386968e-15,0.218030808369966,0.752,0.676,3.98331978367646e-11,"NK_CD56bright","GTF3A"
"NR3C14",2.11136169864221e-15,0.242301754073465,0.568,0.442,4.37664166511543e-11,"NK_CD56bright","NR3C1"
"BUB34",2.98513570696495e-15,0.213799631172938,0.519,0.39,6.18788780696764e-11,"NK_CD56bright","BUB3"
"SRRM15",5.56687020368647e-15,0.228192708456596,0.882,0.825,1.15395652452217e-10,"NK_CD56bright","SRRM1"
"EIF4A25",1.41868571009748e-14,0.234381901352233,0.838,0.771,2.94079360846108e-10,"NK_CD56bright","EIF4A2"
"UFC18",1.46901302691925e-14,0.226813337647548,0.641,0.535,3.04511710350092e-10,"NK_CD56bright","UFC1"
"IL10RA3",1.55818338750121e-14,0.221793394156583,0.639,0.52,3.22995834395127e-10,"NK_CD56bright","IL10RA"
"MPHOSPH85",1.95231842424893e-14,0.209923566064159,0.723,0.625,4.04696086162561e-10,"NK_CD56bright","MPHOSPH8"
"RPS6KA35",3.11945421450891e-14,0.213192039809476,0.516,0.399,6.46631664125553e-10,"NK_CD56bright","RPS6KA3"
"HIST1H1C9",3.14725027612649e-14,0.242501988484929,0.54,0.436,6.5239350973826e-10,"NK_CD56bright","HIST1H1C"
"SRSF25",4.39846566786639e-14,0.215228585232804,0.701,0.615,9.11757948292024e-10,"NK_CD56bright","SRSF2"
